Date,EURO,Platinum,Gold,Crude Oil,Silver,Ethereum,Yeng,^DJI,BITCOIN,new_cases,new_deaths
"[2018, 10, 29]",1.139873862,832,1224.5,67.04000092,14.37699986,197.246994,0.0089135,24442.91992,6332.629883,0,0
"[2018, 10, 30]",1.137617588,834.5999756,1222.599976,66.18000031,14.40299988,197.5559998,0.0088655,24874.64063,6334.27002,0,0
"[2018, 10, 31]",1.134635806,839.4000244,1212.300049,65.30999756,14.22900009,197.381012,0.008858,25115.75977,6317.609863,0,0
"[2018, 11, 1]",1.13166976,858.2999878,1236,63.68999863,14.72900009,198.871994,0.008882,25380.74023,6377.779785,0,0
"[2018, 11, 2]",1.140328884,871.9000244,1230.900024,63.13999939,14.70699978,200.6349945,0.008837,25270.83008,6388.439941,0,0
"[2018, 11, 4]",,874.0999756,,,,,,,6376.129883,0,0
"[2018, 11, 5]",1.139757037,865,1229.800049,63.09999847,14.60400009,209.0910034,0.008841,25461.69922,6419.660156,0,0
"[2018, 11, 6]",1.141291857,867.7000122,1223.800049,62.20999908,14.45800018,218.4519958,0.008826,25635.00977,6461.009766,0,0
"[2018, 11, 7]",1.143850684,875.0999756,1226.199951,61.66999817,14.52799988,217.1830139,0.0088295,26180.30078,6530.140137,0,0
"[2018, 11, 8]",1.143405914,866.7000122,1222.900024,60.66999817,14.38599968,212.2310028,0.0087775,26191.2207,6453.720215,0,0
"[2018, 11, 9]",1.136841536,852.4000244,1206.400024,60.18999863,14.10299969,210.0740051,0.008793,25989.30078,6385.620117,0,0
"[2018, 11, 11]",,856.4000244,,,,,,,6411.27002,0,0
"[2018, 11, 12]",1.132502794,841.7000122,1201.300049,59.93000031,13.97399998,210.4179993,0.008788,25387.17969,6371.27002,0,0
"[2018, 11, 13]",1.123342991,837.0999756,1199.199951,55.68999863,13.95199966,206.826004,0.0087875,25286.49023,6359.490234,0,0
"[2018, 11, 14]",1.13111937,830.7999878,1207.900024,56.25,14.05500031,181.3970032,0.0088145,25080.5,5738.350098,0,0
"[2018, 11, 15]",1.131183386,842.2999878,1212.800049,56.45999908,14.23700047,180.8059998,0.0088045,25289.26953,5648.029785,0,0
"[2018, 11, 16]",1.13248992,843.5999756,1220.800049,56.45999908,14.3579998,175.177002,0.008863,25413.2207,5575.549805,0,0
"[2018, 11, 18]",,848.2000122,,,,,,,5623.540039,0,0
"[2018, 11, 19]",1.141396165,855.5,1223.099976,56.75999832,14.38099957,149.1750031,0.008885,25017.43945,4871.490234,0,0
"[2018, 11, 20]",1.145501614,844.9000244,1219,53.43000031,14.24699974,130.3390045,0.0088855,24465.64063,4451.870117,0,0
"[2018, 11, 21]",1.137242436,848.0999756,1225.800049,54.63000107,14.47999954,136.701004,0.008858,24464.68945,4602.169922,0,0
"[2018, 11, 22]",1.13883543,,,,,126.7059937,,,4365.939941,0,0
"[2018, 11, 23]",1.14031589,,,,,123.2959976,,24285.94922,4347.109863,0,0
"[2018, 11, 25]",,844.2000122,,,,,,,4009.969971,0,0
"[2018, 11, 26]",1.133735418,845.7000122,1220.199951,51.63000107,14.18299961,108.3350067,0.008812,24640.24023,3779.129883,0,0
"[2018, 11, 27]",1.133337021,833.2000122,1211.199951,51.56000137,14.06200027,110.0100021,0.0088005,24748.73047,3820.719971,0,0
"[2018, 11, 28]",1.129879713,824.2000122,1221.400024,50.29000092,14.30300045,122.4379959,0.0088195,25366.42969,4257.419922,0,0
"[2018, 11, 29]",1.136854529,819.0999756,1224.099976,51.45000076,14.27299976,117.5426407,0.008825,25338.83984,4278.84668,0,0
